Geography,Year,Sex,Age,Population
AB,2022,FEMALE,10to14,138513.0
AB,2022,MALE,10to14,147729.0
AB,2022,BOTH,15to19,268018.0
AB,2022,FEMALE,15to19,130034.0
AB,2022,MALE,15to19,137984.0
AB,2022,BOTH,20to24,276257.0
AB,2022,FEMALE,20to24,133762.0
AB,2022,MALE,20to24,142495.0
AB,2022,BOTH,25to29,305240.0
AB,2022,FEMALE,25to29,149215.0
AB,2022,MALE,25to29,156025.0
AB,2022,BOTH,30to34,348790.0
AB,2022,FEMALE,30to34,173300.0
AB,2022,MALE,30to34,175490.0
AB,2022,BOTH,35to39,363163.0
AB,2022,FEMALE,35to39,179575.0
AB,2022,MALE,35to39,183588.0
AB,2022,BOTH,40to44,334179.0
AB,2022,FEMALE,40to44,164386.0
AB,2022,MALE,40to44,169793.0
AB,2022,BOTH,45to49,293468.0
AB,2022,FEMALE,45to49,144002.0
AB,2022,MALE,45to49,149467.0
AB,2022,BOTH,50to54,274657.0
AB,2022,FEMALE,50to54,135320.0
AB,2022,MALE,50to54,139337.0
AB,2022,BOTH,55to59,274004.0
AB,2022,FEMALE,55to59,136256.0
AB,2022,MALE,55to59,137748.0
AB,2022,BOTH,60to64,275934.0
AB,2022,FEMALE,60to64,137898.0
AB,2022,MALE,60to64,138036.0
AB,2022,BOTH,65to69,232705.0
AB,2022,FEMALE,65to69,117373.0
AB,2022,MALE,65to69,115332.0
AB,2022,BOTH,70to74,171047.0
AB,2022,FEMALE,70to74,88020.0
AB,2022,MALE,70to74,83027.0
AB,2022,BOTH,75to79,117430.0
AB,2022,FEMALE,75to79,61606.0
AB,2022,MALE,75to79,55824.0
AB,2022,BOTH,80to84,73443.0
AB,2022,FEMALE,80to84,40298.0
AB,2022,MALE,80to84,33145.0
AB,2022,BOTH,85to89,44891.0
AB,2022,FEMALE,85to89,26350.0
AB,2022,MALE,85to89,18541.0
AB,2022,BOTH,90+,28684.0
AB,2022,FEMALE,90+,19348.0
AB,2022,MALE,90+,9336.0
AB,2023,BOTH,ALL,4695303.0
AB,2023,FEMALE,ALL,2331602.0
AB,2023,MALE,ALL,2363701.0
AB,2023,BOTH,00,48685.0
AB,2023,FEMALE,00,23721.0
AB,2023,MALE,00,24964.0
AB,2023,BOTH,01to04,209175.0
AB,2023,FEMALE,01to04,102036.0
AB,2023,MALE,01to04,107139.0
AB,2023,BOTH,05to09,293058.0
AB,2023,FEMALE,05to09,142556.0
AB,2023,MALE,05to09,150502.0
AB,2023,BOTH,10to14,294498.0
AB,2023,FEMALE,10to14,142682.0
AB,2023,MALE,10to14,151815.0
AB,2023,BOTH,15to19,282281.0
AB,2023,FEMALE,15to19,136571.0
AB,2023,MALE,15to19,145710.0
AB,2023,BOTH,20to24,292461.0
AB,2023,FEMALE,20to24,142059.0
AB,2023,MALE,20to24,150402.0
AB,2023,BOTH,25to29,325433.0
AB,2023,FEMALE,25to29,158745.0
AB,2023,MALE,25to29,166688.0
AB,2023,BOTH,30to34,368303.0
AB,2023,FEMALE,30to34,182780.0
AB,2023,MALE,30to34,185523.0
AB,2023,BOTH,35to39,379505.0
AB,2023,FEMALE,35to39,187390.0
AB,2023,MALE,35to39,192115.0
AB,2023,BOTH,40to44,355125.0
AB,2023,FEMALE,40to44,174512.0
AB,2023,MALE,40to44,180613.0
AB,2023,BOTH,45to49,305295.0
AB,2023,FEMALE,45to49,149605.0
AB,2023,MALE,45to49,155690.0
AB,2023,BOTH,50to54,281762.0
AB,2023,FEMALE,50to54,138743.0
AB,2023,MALE,50to54,143019.0
AB,2023,BOTH,55to59,270616.0
AB,2023,FEMALE,55to59,134891.0
AB,2023,MALE,55to59,135725.0
AB,2023,BOTH,60to64,282151.0
AB,2023,FEMALE,60to64,141854.0
AB,2023,MALE,60to64,140297.0
AB,2023,BOTH,65to69,245869.0
AB,2023,FEMALE,65to69,124349.0
AB,2023,MALE,65to69,121520.0
AB,2023,BOTH,70to74,180208.0
AB,2023,FEMALE,70to74,92807.0
AB,2023,MALE,70to74,87401.0
AB,2023,BOTH,75to79,127685.0
AB,2023,FEMALE,75to79,67019.0
AB,2023,MALE,75to79,60666.0
AB,2023,BOTH,80to84,77676.0
AB,2023,FEMALE,80to84,42530.0
AB,2023,MALE,80to84,35146.0
AB,2023,BOTH,85to89,46110.0
AB,2023,FEMALE,85to89,27052.0
AB,2023,MALE,85to89,19058.0
AB,2023,BOTH,90+,29408.0
AB,2023,FEMALE,90+,19701.0
AB,2023,MALE,90+,9707.0
